BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuaranteed,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
Cooltrace International Corp,4700 SW 51St St 217,Fort Lauderdale,FL,33314,2207,EXEMPT,100000,50000,7.74,84,2018,11/30/17,1/31/18,62,12/25/24,0,,,,,,,238220,"Plumbing, Heating, and Air-Conditioning Contractors",2,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
KINSTONE MARKET INC,10400 SW 1st Court,Pompano Beach,FL,33071,2210,EXEMPT,20000,10000,10.38,84,2018,11/30/17,1/31/18,62,12/25/24,0,,,,,,,445110,Supermarkets and Other Grocery (except Convenience) Stores,1,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"CUTLER BAY PAINTING SERVICES,",19404 SW 103RD CT,Miami,FL,33157,2457,EXEMPT,50000,25000,10.74,84,2017,8/30/17,10/31/17,62,9/24/24,0,,,,,,,238320,Painting and Wall Covering Contractors,2,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
ANDERSON AIR SOLUTIONS INC.,105 LOWELL ROAD,Winter Haven,FL,33884,2640,EXEMPT,25000,12500,10.13,84,2017,6/30/17,8/31/17,62,7/25/24,0,,,,,,,238220,"Plumbing, Heating, and Air-Conditioning Contractors",1,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"WhatAChick, Inc",4201 W Hillsborough Ave,Tampa,FL,33614,3686,EXEMPT,750000,562500,6,126,2011,8/31/11,11/1/11,62,3/8/22,0,,,,,,,722211,Limited-Service Restaurants,45,PLP,Guaranty,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
City Transmission and Auto Rep,4488 NW 6th Street,Gainesville,FL,32609,5149,PIF,25000,12500,7.9,84,2011,5/31/11,8/1/11,62,6/25/18,0,,,,,,,811111,General Automotive Repair,0,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
OGET INTERPRISE LLC,530 TAMIAMI TRAIL,PORT CHARLOTTE,FL,33954,5254,PIF,319500,159750,6.1,240,2010,8/31/10,11/1/10,62,7/19/30,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),11,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"J&T PIZZA FL, LLC",1941 TARRAGON LN,NEW PORT RICHEY,FL,34655,5564,EXEMPT,148800,126480,6.25,123,2016,9/30/16,12/1/16,62,1/8/27,0,,,,,,,722513,Limited-Service Restaurants,10,PLP,Guaranty,Stearns Bank National Association,4191 2nd St South,SAINT CLOUD,MN,56301
"Sky High Learning Academy, LLC",7912 North Armenia Ave,Tampa,FL,33604,5917,EXEMPT,385000,288750,6.25,300,2018,11/30/17,1/31/18,62,9/22/42,0,,,,,,,624410,Child Day Care Services,15,PLP,Guaranty,American Momentum Bank,1 Momentum Blvd,COLLEGE STATION,TX,77845
"SHRI HARI CLINIC, LLC",2200 SOUTH FRENCH,SANFORD,FL,32771,7335,PIF,100000,90000,6,120,2010,4/30/10,7/1/10,62,5/9/20,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),4,OTH 7A,Guaranty,Pinnacle Bank,1113 Saxon Blvd,ORANGE CITY,FL,32763
"Miami Beach Food Stores, Inc.",1300 Lincoln Road C-1A,Miami Beach,FL,33139,7399,PIF,764000,687600,6,300,2011,12/29/10,3/1/11,62,10/21/35,0,,,,,,,445120,Convenience Stores,16,PLP,Guaranty,Parke Bank,601 Delsea Dr,SEWELL,NJ,8080
OrthoPros PLLC,421 APOLLO BEACH BLVD,APOLLO BEACH,FL,33572,7473,EXEMPT,623000,467250,6.25,120,2018,11/30/17,1/31/18,62,12/10/27,0,,,,,,,621210,Offices of Dentists,7,PLP,Guaranty,Ameris Bank,24 Second Ave SE,MOULTRIE,GA,31768
"Northmil, LLC",9031 N Military Trail,Palm Beach Gardens,FL,33410,7545,PIF,456000,342000,5.5,120,2014,2/28/14,5/1/14,62,3/9/24,0,,,,,,,447110,Gasoline Stations with Convenience Stores,13,OTH 7A,Guaranty,Paradise Bank,2420 N Federal Hwy,BOCA RATON,FL,33431
Dr. Fred Goldsmith III,830 -13 AIA North Suite 208,Ponte Vedra,FL,32082,8716,PIF,1775000,1597500,5,303,2011,12/29/10,3/1/11,62,1/19/36,0,,,,,,,812910,Pet Care (except Veterinary) Services,0,PLP,Guaranty,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
Dr. Fred Goldsmith III,830 -13 AIA North Suite 208,Ponte Vedra,FL,32082,8717,PIF,1775000,1597500,5,300,2011,12/29/10,3/1/11,62,10/21/35,0,,,,,,,812910,Pet Care (except Veterinary) Services,0,PLP,Guaranty,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
Dr. David Landers DBA Partridg,6920 4th Street,St. Petersburg,FL,33702,8753,EXEMPT,1900000,1578880,5,204,2010,4/30/10,7/1/10,62,4/3/27,0,,,,,,,541940,Veterinary Services,0,PLP,Guaranty,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
Tamega Inc,2739 Se Eagle Dr,PORT SAINT LUCIE,FL,34984,9070,EXEMPT,75000,37500,6.95,84,2017,5/30/17,7/31/17,62,6/24/24,0,,,,,,,531390,Other Activities Related to Real Estate,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"TULEIN, LLC",8457 INTERNATIONAL DR,ORLANDO,FL,32819,9241,EXEMPT,50000,25000,5.4,84,2016,9/30/16,12/1/16,62,10/26/23,0,,,,,,,722515,Snack and Nonalcoholic Beverage Bars,10,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Cental Florida Water Treatment,530 South Ronald Reagan Bolvd,LONGWOOD,FL,32750,10877,EXEMPT,150000,127500,7,120,2017,9/29/17,11/30/17,62,10/9/27,0,,,,,,,454390,Other Direct Selling Establishments,3,PLP,Guaranty,Independence Bank,1370 S County Trl,EAST GREENWICH,RI,2818
Ave Environmental LLC,700 RIVERVIEW AVE,SANFORD,FL,32771,10878,EXEMPT,150000,127500,7,120,2017,9/29/17,11/30/17,62,10/9/27,0,,,,,,,541620,Environmental Consulting Services,0,PLP,Guaranty,Independence Bank,1370 S County Trl,EAST GREENWICH,RI,2818
JJL Ventures LLC,9635 Philips Highway Suite 2-,Jacksonville,FL,32256,11664,EXEMPT,554200,415650,6.75,127,2018,10/30/17,12/31/17,62,6/6/28,0,,,,,,,812910,Pet Care (except Veterinary) Services,17,OTH 7A,Guaranty,"Florida Capital Bank, National Association","10151 Deerwood Park Blvd, Ste",JACKSONVILLE,FL,32256
SAVANNAH NAIL BAR CORP.,104 W. INDIANTOWN ROAD,JUPITER,FL,33458,11768,PIF,50000,42500,5.5,60,2012,12/1/11,2/1/12,62,1/5/17,0,,,,,,,812113,Nail Salons,6,OTH 7A,Guaranty,Flagler Bank,1801 Forest Hill Blvd,WEST PALM BEACH,FL,33406
"Stanger Health Care Centers, I",601 N. CONGRESS AVENUE SUITE,DELRAY BEACH,FL,33445,11774,EXEMPT,339000,305100,6,99,2011,12/29/10,3/1/11,62,4/18/19,0,,,,,,,621310,Offices of Chiropractors,10,OTH 7A,Guaranty,Flagler Bank,1801 Forest Hill Blvd,WEST PALM BEACH,FL,33406
"Bret Chernow Consulting, Inc",2101 NW Corporate Blvd,Boca Raton,FL,33431,11851,EXEMPT,1550000,1162500,6.25,120,2017,6/30/17,8/31/17,62,7/10/27,0,,,,,,,523930,Investment Advice,3,OTH 7A,Guaranty,First State Bank Nebraska,2701 Grainger Pkwy,LINCOLN,NE,68516
"Fraser Family Holdings, LLC",3532 US HIGHWAY 1,FORT PIERCE,FL,34946,12063,EXEMPT,350000,175000,6.75,84,2017,8/30/17,10/31/17,62,9/24/24,0,,,,,,,561730,Landscaping Services,150,SBA EXPRES,FA$TRK (Small Loan Express),"Banc of California, National Association","3 MacArthur Pl, Ste 100",SANTA ANA,CA,92707
Glacier Helicopter Company and,100 AVIATION DRIVE S.,NAPLES,FL,34104,12620,PIF,178000,133500,6,120,2011,3/31/11,6/1/11,62,4/9/21,0,,,,,,,531190,Lessors of Other Real Estate Property,2,OTH 7A,Guaranty,First American Bank,1207 Central Ave,FORT DODGE,IA,50501
R &amp; D MANAGEMENT SERVICES,7952 PONDS EDGE LANE,Zephyrhills,FL,33540,13198,EXEMPT,635000,476250,6.25,300,2016,9/30/16,12/1/16,62,7/23/41,0,,,,,,,623312,Homes for the Elderly,5,PLP,Guaranty,Evolve Bank & Trust,301 Shoppingway Blvd,WEST MEMPHIS,AR,72301
GRACIOUS AGE L.L.C.,1401 Magnolia Ave,SANFORD,FL,32771,13199,EXEMPT,2360000,1770000,5.75,306,2016,9/30/16,12/1/16,62,1/19/42,0,,,,,,,623312,Homes for the Elderly,37,PLP,Guaranty,Evolve Bank & Trust,301 Shoppingway Blvd,WEST MEMPHIS,AR,72301
Justine Rodgers Signature Insu,2010 6th Avenue,Vero Beach,FL,32960,13682,EXEMPT,1385000,1038750,6,120,2015,7/1/15,9/1/15,62,7/10/25,0,,,,,,,524210,Insurance Agencies and Brokerages,8,OTH 7A,Guaranty,Crestmark Bank,"5480 Corporate Dr, Ste 350",TROY,MI,48098
Southern Association Managemen,4608 OPA LOCKA LN,DESTIN,FL,32541,14458,EXEMPT,225000,168750,5.25,72,2017,8/30/17,10/31/17,62,9/30/23,0,,,,,,,813990,"Other Similar Organizations (except Business, Professional, Labor, and",45,PLP,Guaranty,Community Bank of Mississippi,323 E Third St,FOREST,MS,39074
Long Franchises LLC,2404 James L Redman Pkwy,PLANT CITY,FL,33566,14644,EXEMPT,267600,200700,6.5,126,2017,5/30/17,7/31/17,62,12/6/27,0,,,,,,,812111,Barber Shops,10,PLP,Guaranty,Citizens Bank,300 Broad St,ELIZABETHTON,TN,37643
"Mad at S.A.D., LLC",4050 Middle Avenue,Sarasota,FL,34234,14829,EXEMPT,869000,782100,6.25,120,2017,8/30/17,10/31/17,62,9/9/27,0,,,,,,,312111,Soft Drink Manufacturing,3,INTER TRDE,"International Trade - Sec, 7(a) (16)","CenterState Bank, National Association",1101 First St South,WINTER HAVEN,FL,33880
"Comfort Cove RE, LLC",14th Street West,Bradenton,FL,34205,14932,EXEMPT,5000000,3750000,5.25,275,2014,3/31/14,6/1/14,62,1/1/37,0,,,,,,,623312,Homes for the Elderly,60,OTH 7A,Guaranty,"CenterState Bank, National Association",1101 First St South,WINTER HAVEN,FL,33880
"Luxadd, LLC",999 Brickell Ave Ste 600,Miami,FL,33131,14962,EXEMPT,150000,112500,5.5,60,2013,2/28/13,5/1/13,62,4/5/18,0,,,,,,,335931,Current-Carrying Wiring Device Manufacturing,7,OTH 7A,Standard Asset Based,"CenterState Bank, National Association",1101 First St South,WINTER HAVEN,FL,33880
"International  E. Trade, LLC","8140 Lakewood Main Street, Su",BRADENTON,FL,34202,15879,EXEMPT,150000,127500,6,120,2013,7/1/13,9/1/13,62,7/11/23,0,,,,,,,446199,All Other Health and Personal Care Stores,10,SLA,Lender Advantage Initiative,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
Paramount Asphalt Sealcoating,260 20TH ST NE,NAPLES,FL,34120,15918,EXEMPT,150000,127500,8.75,120,2017,5/30/17,7/31/17,62,6/9/27,0,,,,,,,238990,All Other Specialty Trade Contractors,5,CA,Community Advantage Initiative,CDC Small Business Finance Corporation,2448 Historic Decatur,San Diego,CA,92106
Re Define Beauty Medspa LLC,405 S KINGS AVE,BRANDON,FL,33511,16134,EXEMPT,173500,86750,5.84,179,2018,10/30/17,12/31/17,62,9/13/32,0,,,,,,,812199,Other Personal Care Services,5,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
MarketingDirection.com LLC,3223 W. Villa Rosa Street,TAMPA,FL,33611,16572,EXEMPT,220000,165000,8.25,84,2017,8/30/17,10/31/17,62,9/24/24,0,,,,,,,541613,Marketing Consulting Services,6,CA,Community Advantage Initiative,"Black Business Investment Fund of Central Florida, Inc.",Capital Plaza Two,Orlando,FL,32801
Velella Research LLC,3842 155th Ave East.,Parrish,FL,34219,17437,EXEMPT,300000,270000,6,120,2011,12/29/10,3/1/11,62,1/7/21,0,,,,,,,541711,Research and Development in Biotechnology,5,PLP,Guaranty,Bank of the Ozarks,17901 Chenal Pkwy,LITTLE ROCK,AR,72223
"DWO Services, Inc.",1962 Darlin Circle,ORLANDO,FL,32820,17637,PIF,50000,25000,9.75,84,2013,7/31/13,10/1/13,62,8/25/20,0,,,,,,,333132,Oil and Gas Field Machinery and Equipment Manufacturing,0,SBA EXPRES,FA$TRK (Small Loan Express),"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202
Momentum Fleet Services Inc,4104 West South Avenue,Tampa,FL,33614,852,EXEMPT,150000,127500,6.75,90,2017,9/28/17,11/30/17,63,4/22/25,0,,,,,,,811111,General Automotive Repair,8,OTH 7A,Guaranty,Valley National Bank,615 Main Ave,PASSAIC,NJ,7055
MARIA CLAUDIA SEGRERA P.A.,16636 Sheridan Street,PEMBROKE PINES,FL,33028,1132,EXEMPT,538000,403500,6.25,129,2016,9/29/16,12/1/16,63,7/7/27,0,,,,,,,621210,Offices of Dentists,5,PLP,Guaranty,United Community Bank,177 Hwy 515 E,BLAIRSVILLE,GA,30512
Archie's Seabreeze Inc,401 S. Ocean Dr.,Ft. Pierce,FL,34949,1647,EXEMPT,1104800,828600,5.25,300,2011,9/29/11,12/1/11,63,7/22/36,0,,,,,,,722110,Full-Service Restaurants,22,OTH 7A,Guaranty,The Oculina Bank,"4450 24th Ave, Ste 101",VERO BEACH,FL,32967
"Chocolate Creations TC, Inc.",2650 N US Hwy 1,Fort Pierce,FL,34946,1651,EXEMPT,280000,210000,5.5,267,2011,6/30/11,9/1/11,63,8/6/33,0,,,,,,,445299,All Other Specialty Food Stores,10,OTH 7A,Guaranty,The Oculina Bank,"4450 24th Ave, Ste 101",VERO BEACH,FL,32967
THE MARTIN&apos;S FRAME MASTER,2800 CORRINE Drive,Orlando,FL,32803,2097,EXEMPT,25000,12500,10.74,84,2018,12/27/17,2/28/18,63,1/22/25,0,,,,,,,442299,All Other Home Furnishings Stores,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
FLORIDA PREFERRED NOTARY LLC,10 FAIRWAY DRIVE STE 130V,Deerfield Beach,FL,33441,2212,EXEMPT,20000,10000,10.04,84,2018,11/29/17,1/31/18,63,12/25/24,0,,,,,,,541199,All Other Legal Services,1,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"SKYVIEW WEALTH MANAGEMENT, LLC",1100 SUNILAND AVENUE,Altamonte Springs,FL,32701,2377,EXEMPT,25000,12500,10.74,84,2017,9/28/17,11/30/17,63,10/24/24,0,,,,,,,523920,Portfolio Management,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
SUIRO LLC,5909 Trevors Way,Tampa,FL,33625,2462,EXEMPT,30000,15000,10.04,84,2017,8/29/17,10/31/17,63,9/24/24,0,,,,,,,446110,Pharmacies and Drug Stores,1,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
MERCHANT CLEANERS INC.,4993 US HWY 98 N,Lakeland,FL,33809,2465,EXEMPT,15000,7500,10.04,84,2017,8/29/17,10/31/17,63,9/24/24,0,,,,,,,812320,Drycleaning and Laundry Services (except Coin-Operated),0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
Burris Installation Services L,1319 Braddock Road,Deltona,FL,32725,3082,EXEMPT,26000,13000,6,84,2016,4/29/16,7/1/16,63,5/26/23,0,,,,,,,238210,Electrical Contractors,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"China Rider, Inc. dba Mellow M",2630 Gulf to Bay Blvd,Clearwater,FL,33759,3545,EXEMPT,3224500,2418375,6,312,2013,1/28/13,4/1/13,63,11/16/38,0,,,,,,,722110,Full-Service Restaurants,51,PLP,Guaranty,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"Fulton Insurance Group, Inc.",4117 Little Road,New Port Richey,FL,34655,3642,PIF,2105000,1578750,6,180,2012,3/30/12,6/1/12,63,3/15/27,0,,,,,,,524210,Insurance Agencies and Brokerages,15,PLP,Guaranty,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"Tune Cycles, LLC","3500 NW Boca Raton Blvd, Suit",Boca Raton,FL,33431,4493,EXEMPT,127000,107950,5.95,120,2016,11/30/15,2/1/16,63,12/10/25,0,,,,,,,451110,Sporting Goods Stores,0,SLA,Lender Advantage Initiative,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"The Golden Anvil, Inc.","4601 Military Trail, Suite 10",Jupiter,FL,33458,4914,PIF,100000,50000,7.25,84,2014,10/30/13,1/1/14,63,11/25/20,0,,,,,,,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesaler",7,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"ACELERANT, INC.","1405 ALTERNATE A1A, SUITE 10",JUPITER,FL,33469,5918,PIF,500000,450000,5.75,120,2011,11/30/10,2/1/11,63,12/10/20,0,,,,,,,451110,Sporting Goods Stores,11,OTH 7A,Guaranty,Seaside National Bank & Trust,"201 S Orange Ave, Ste 1350",ORLANDO,FL,32801
Eye M.D. of Niceville LLC,1480 Hickory Street Ste 104,NICEVILLE,FL,32578,6393,PIF,150000,75000,8,84,2016,12/29/15,3/1/16,63,1/24/23,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),8,SBA EXPRES,FA$TRK (Small Loan Express),Regions Bank,1900 5th Ave North,BIRMINGHAM,AL,35203
"DavidEric, Inc",650 West Avenue,Miami Beach,FL,33139,7204,PIF,321000,160500,5.25,120,2011,12/28/10,3/1/11,63,1/7/21,0,,,,,,,722213,Snack and Nonalcoholic Beverage Bars,5,SBA EXPRES,FA$TRK (Small Loan Express),"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801
TB Holdings of Central Florida,843 N. State Road 434,Altamonte Springs,FL,32714,8223,EXEMPT,382000,286500,6.5,301,2017,3/29/17,5/31/17,63,2/19/42,0,,,,,,,624410,Child Day Care Services,10,OTH 7A,Guaranty,Midwest Regional Bank,363 Festus Centre Dr,FESTUS,MO,63028
"Romain Rehabilitation Center,",19541 Sheridan Street,Davie,FL,33332,9630,EXEMPT,40000,20000,5.75,84,2015,4/29/15,7/1/15,63,5/25/22,0,,,,,,,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"RAJPARTH ADVISORY GROUP, LLC",55 NE 5th Ave Ste 402,BOCA RATON,FL,33432,9918,EXEMPT,50000,25000,7.75,84,2014,2/27/14,5/1/14,63,3/25/21,0,,,,,,,523930,Investment Advice,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
SEBASTIAN RIVER CONCRETE INC.,12805 79th AVE,SEBASTIAN,FL,32958,10879,EXEMPT,150000,127500,7,120,2017,9/28/17,11/30/17,63,10/9/27,0,,,,,,,238110,Poured Concrete Foundation and Structure Contractors,5,PLP,Guaranty,Independence Bank,1370 S County Trl,EAST GREENWICH,RI,2818
The Shape Image LLC,"4631 Johnson Road, Suite 7",POMPANO BEACH,FL,33073,10921,EXEMPT,150000,127500,6.75,120,2017,5/29/17,7/31/17,63,6/9/27,0,,,,,,,448120,Women's Clothing Stores,2,PLP,Guaranty,Independence Bank,1370 S County Trl,EAST GREENWICH,RI,2818
"Mosa, PA",4308 Alton Road,MIAMI BEACH,FL,33140,11901,PIF,339000,254250,5.95,120,2013,7/30/13,10/1/13,63,8/10/23,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),22,PLP,Guaranty,"Banc of California, National Association","3 MacArthur Pl, Ste 100",SANTA ANA,CA,92707
"Lewis Pharmacy of Palm Beach,",235 South County Road,Palm Beach,FL,33480,12299,EXEMPT,1500000,1125000,6,120,2017,6/29/17,8/31/17,63,7/10/27,0,,,,,,,446110,Pharmacies and Drug Stores,6,OTH 7A,Guaranty,First Financial Bank,214 N Washington,EL DORADO,AR,71730
"Wow Burgers, LLC",10537 Canary Isle,Tampa,FL,33647,12375,EXEMPT,1836000,1377000,5,120,2017,4/28/17,6/30/17,63,5/9/27,0,,,,,,,445299,All Other Specialty Food Stores,50,OTH 7A,Guaranty,First Citrus Bank,10824 N Dale Mabry Hwy,TAMPA,FL,33618
"Shiv-Parvati, Inc.",2607 Wilde Blvd,Pensacola,FL,32526,13115,PIF,4068000,3661200,6,300,2011,12/28/10,3/1/11,63,10/21/35,0,,,,,,,721110,Hotels (except Casino Hotels) and Motels,0,PLP,Guaranty,Fidelity Bank,"3490 Piedmont Rd, Ste 124",ATLANTA,GA,30305
"Salt Springs Food Store, LLC",Hwy 19,Fort McCoy,FL,32134,13288,EXEMPT,175000,131250,5.25,102,2017,11/30/16,2/1/17,63,6/19/25,0,,,,,,,445110,Supermarkets and Other Grocery (except Convenience) Stores,8,OTH 7A,Guaranty,Drummond Community Bank,1627 N Young Blvd,CHIEFLAND,FL,32626
"MM-2 South Miami, LLC",5701 Sunset Drive Unit A01A,Miami,FL,33143,13698,EXEMPT,1164000,873000,5.75,86,2014,5/30/14,8/1/14,63,8/24/21,0,,,,,,,722511,Full-Service Restaurants,120,OTH 7A,Guaranty,CornerstoneBank,"2060 Mt Paran Rd NW, Ste 100",ATLANTA,GA,30327
"PRECISE HOME CARE, LLC",8659 BAYPINE RD BLDG 3,JACKSONVILLE,FL,32256,14200,PIF,100000,50000,6.44,84,2013,5/30/13,8/1/13,63,6/25/20,0,,,,,,,621610,Home Health Care Services,30,SBA EXPRES,FA$TRK (Small Loan Express),Compass Bank,15 S 20th St,BIRMINGHAM,AL,35233
JOHN EDGECOMBE OF AVONDALE LLC,4444 MERRIMAC AVENUE,JACKSONVILLE,FL,32210,14359,PIF,50000,25000,8.14,84,2011,12/28/10,3/1/11,63,1/23/18,0,,,,,,,541219,Other Accounting Services,13,SBA EXPRES,FA$TRK (Small Loan Express),Compass Bank,15 S 20th St,BIRMINGHAM,AL,35233
Kibbey Wagner PLLC,416 SW Camden,Stuart,FL,34994,14543,EXEMPT,150000,75000,5,84,2016,9/29/16,12/1/16,63,10/26/23,0,,,,,,,541110,Offices of Lawyers,0,SBA EXPRES,FA$TRK (Small Loan Express),Comerica Bank,1717 Main St,DALLAS,TX,75201
Atharva Imports Inc,8235 NW 64 Street #6 and #8,MIAMI,FL,33133,14605,EXEMPT,350000,175000,5.25,84,2015,6/30/15,9/1/15,63,7/26/22,0,,,,,,,454111,Electronic Shopping,8,SBA EXPRES,FA$TRK (Small Loan Express),City National Bank of Florida,25 W Flagler St,MIAMI,FL,33130
Pure Dental Care PA,2326 South Congress Avenue,West Palm Beach,FL,33406,14830,EXEMPT,200000,150000,5.5,120,2017,8/29/17,10/31/17,63,9/9/27,0,,,,,,,621210,Offices of Dentists,4,PLP,Guaranty,"CenterState Bank, National Association",1101 First St South,WINTER HAVEN,FL,33880
Saarinen's Paradise LLC,7950 Dani Drive Unit 6,Fort Myers,FL,33966,16099,EXEMPT,405000,303750,6.25,123,2017,11/30/16,2/1/17,63,3/11/27,0,,,,,,,722513,Limited-Service Restaurants,10,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
SUNNYSIDE CAFE INC,300 OCEAN AVE SUITES 10 & 11,MELBOURNE BEACH,FL,32951,16130,EXEMPT,121700,60850,6,84,2018,11/29/17,1/31/18,63,12/25/24,0,,,,,,,722511,Full-Service Restaurants,14,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
SUNRISE SUBS & GRILL INC,10184 NW 47TH ST,FORT LAUDERDALE,FL,33351,16344,PIF,20000,10000,8.15,84,2011,6/30/11,9/1/11,63,7/26/18,0,,,,,,,722110,Full-Service Restaurants,0,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
"Royal Business & Associates, I",12201 SW 132 Court,MIAMI,FL,33186,16602,PIF,300000,270000,4.75,12,2014,5/30/14,8/1/14,63,7/27/15,0,,,,,,,424410,General Line Grocery Merchant Wholesalers,9,EWCP,Revolving Line of Credit Exports - Sec. 7(a) (14),Banesco USA,"150 Alhambra Circle, Ste 100",CORAL GABLES,FL,33134
"American Cleaning Contractors,",2718 MISTY OAKS CIR,WEST PALM BEACH,FL,33411,17734,PIF,35000,17500,9.75,84,2011,11/30/10,2/1/11,63,12/26/17,0,,,,,,,561720,Janitorial Services,31,SBA EXPRES,FA$TRK (Small Loan Express),"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202
Power Tech Electronics Inc.,2555-A NW 107 Avenue.,Miami,FL,33172,12,CHGOFF,250000,125000,5.95,78,2010,4/28/10,7/1/10,64,11/26/16,1,2018,168670,81330,3/13/18,-472,-16,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant,16,SBA EXPRES,FA$TRK (Small Loan Express),TotalBank,100 SE 2nd St,MIAMI,FL,33131
WILD BIRDS UNLIMITED,"250 Palm Coast Pkwy, #503",Palm Coast,FL,32137,1114,EXEMPT,170000,127500,7,126,2017,8/28/17,10/31/17,64,3/7/28,0,,,,,,,453910,Pet and Pet Supplies Stores,3,PLP,Guaranty,United Community Bank,177 Hwy 515 E,BLAIRSVILLE,GA,30512
Healthpoint Medical Group of T,12234 Panama City Beach Parkw,Panama City Beach,FL,32407,1408,EXEMPT,1631000,1223250,5.75,120,2017,7/28/17,9/30/17,64,8/9/27,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),40,OTH 7A,Guaranty,Troy Bank & Trust Company,1000 US Hwy 231 S,TROY,AL,36081
"Sunset Cell Group, LLC",2700 NW 112 Ave,MIAMI,FL,33172,1427,PIF,500000,375000,6,84,2012,9/28/12,12/1/12,64,10/26/19,0,,,,,,,423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchan",15,EXPRES EXP,FA$TRK (Small Loan Express),TotalBank,100 SE 2nd St,MIAMI,FL,33131
