BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BusinessType,BankName,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,LoanStatus,Status,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported
"Lambasio, Inc.",401 401 East Berrien,Galesburg,IL,61401,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,306000,229500,3/21/11,2011,5/1/11,RLA,Rural Lender Advantage,6,300,238220,"Plumbing, Heating, and Air-Conditioning Contractors",EXEMPT,0,,0,0,17
Rodney & Sara McDonald (EPC);,1233 N Fourth Street,Chillicothe,IL,61523,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,80200,40100,8/30/11,2011,10/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6.99,84,811191,Automotive Oil Change and Lubrication Shops,EXEMPT,0,,0,0,5
Rockford Land Works Inc.,6568 N Main Street,Rockford,IL,61103,INDIVIDUAL,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,50000,25000,8/31/11,2011,9/1/11,SBA EXPRES,FA$TRK (Small Loan Express),7.75,84,238190,"Other Foundation, Structure, and Building Exterior Contractors",PIF,0,,0,1,0
Golden Glazed Donuts Inc,2889 Main St,DECATUR,IL,62526,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,25000,12500,3/17/11,2011,,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,722110,Full-Service Restaurants,CANCLD,0,,0,0,15
"UNIVERSITY DOGS, INC.",W. WOOD STREET,DECATUR,IL,62522,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,80000,68000,3/16/11,2011,4/1/11,RLA,Rural Lender Advantage,6,84,722211,Limited-Service Restaurants,EXEMPT,0,,0,0,2
"SCHANTZ MFG, INC AND SCHANTZ H",13480 HIGHWAY 40,HIGHLAND,IL,62249,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,1450000,1087500,3/10/11,2011,5/1/11,OTH 7A,Guaranty,6,240,336212,Truck Trailer Manufacturing,PIF,0,,0,0,12
"Anne S. Zuba dba Anne S. Zuba,",10117 Pine Valley Circle,Belvidere,IL,61008,INDIVIDUAL,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,50000,25000,9/7/11,2011,9/7/11,SBA EXPRES,FA$TRK (Small Loan Express),4.75,84,541990,"All Other Professional, Scientific, and Technical Services",PIF,0,,0,1,0
Pathway Lawn Grooming,5 WOODLAND DR,FORSYTH,IL,62535,INDIVIDUAL,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,40500,20250,3/3/11,2011,7/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6.25,60,561730,Landscaping Services,PIF,0,,0,0,4
SPIN CITY CYCLES CO,1088 W WOOD ST,DECATUR,IL,62522,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,35000,17500,2/28/11,2011,9/1/11,SBA EXPRES,FA$TRK (Small Loan Express),5.25,126,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,EXEMPT,0,,0,0,4
Infinite Wellness Chiropractic,5A Club Centre Ct,EDWARDSVILLE,IL,62025,PARTNERSHIP,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,35000,17500,2/7/11,2011,4/1/11,SBA EXPRES,FA$TRK (Small Loan Express),7.25,24,621310,Offices of Chiropractors,PIF,0,,0,1,6
"Famous Cellular, Inc.",238 Esat Sibley,Harvey,IL,60426,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,121600,60800,9/14/11,2011,11/1/11,SBA EXPRES,FA$TRK (Small Loan Express),7.74,40,443112,"Radio, Television, and Other Electronics Stores",CHGOFF,1,8/11/15,20190,0,4
Infinite Wellness Chiropractic,5A Club Centre Ct,EDWARDSVILLE,IL,62025,PARTNERSHIP,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,20000,10000,1/31/11,2011,,SBA EXPRES,FA$TRK (Small Loan Express),7.25,24,621310,Offices of Chiropractors,CANCLD,0,,0,1,0
"EMC PROPERTIES, LLC (EPC) & RA",705 NORTH DOUGLAS,ST. JACOB,IL,62281,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,529000,396750,1/24/11,2011,4/1/11,OTH 7A,Guaranty,5.5,84,484110,"General Freight Trucking, Local",PIF,0,,0,0,4
"EMC PROPERTIES, LLC. (EPC) & R",705 NORTH DOUGLAS,ST JACOB,IL,62281,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,517500,388125,1/24/11,2011,4/1/11,OTH 7A,Guaranty,5.5,240,484110,"General Freight Trucking, Local",PIF,0,,0,0,1
Richard H. Parrish,1380 N. 1750th Ave..,Fowler,IL,62338,INDIVIDUAL,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,61200,30600,1/21/11,2011,3/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6,36,492110,Couriers,PIF,0,,0,0,2
SPIN CITY CYCLES,135 S OAKLAND,DECATUR,IL,62522,INDIVIDUAL,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,359000,323100,12/29/10,2011,2/1/11,OTH 7A,Guaranty,6,264,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),EXEMPT,0,,0,0,6
"Graham Benson, PC",5020 North Illinois St,FAIRVIEW HEIGHTS,IL,62208,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,92000,46000,12/21/10,2011,12/21/10,SBA EXPRES,FA$TRK (Small Loan Express),6.37,48,541110,Offices of Lawyers,PIF,0,,0,0,20
"Graham Benson, PC",5020 North Illinois St,FAIRVIEW HEIGHTS,IL,62208,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,225000,112500,12/21/10,2011,12/21/10,SBA EXPRES,FA$TRK (Small Loan Express),5.7,54,541110,Offices of Lawyers,PIF,0,,0,1,20
Matchbox Disposal Inc.,309 S. 21st Suite 6.,Mattoon,IL,61938,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,290000,145000,12/14/10,2011,1/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6,84,562219,Other Nonhazardous Waste Treatment and Disposal,PIF,0,,0,1,7
Rodney & Sara McDonald (EPC);,1233 N Fourth Street,Chillicothe,IL,61523,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,157300,78650,9/22/11,2011,10/1/11,SBA EXPRES,FA$TRK (Small Loan Express),5.49,240,811191,Automotive Oil Change and Lubrication Shops,EXEMPT,0,,0,0,5
Joe Jac Corp,5310 E. William St.,DECATUR,IL,62521,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,717000,358500,11/8/10,2011,3/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6.5,60,623990,Other Residential Care Facilities,PIF,0,,0,1,83
Huddies Goodies,18 S. Washington.,Sullivan,IL,61951,INDIVIDUAL,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,40000,20000,11/4/10,2011,12/1/10,SBA EXPRES,FA$TRK (Small Loan Express),6.5,84,452990,All Other General Merchandise Stores,PIF,0,,0,0,1
James S. Chung and Julie H. Ch,7447 Linder Ave,Skokie,IL,60077,INDIVIDUAL,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,845500,422750,9/26/11,2011,,SBA EXPRES,FA$TRK (Small Loan Express),6.49,240,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),CANCLD,0,,0,0,0
"ATS MEDICAL SERVICES, INC.",6419 Material Avenue,Loves Park,IL,61111,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,180000,90000,9/26/11,2011,10/1/11,SBA EXPRES,FA$TRK (Small Loan Express),5,84,621910,Ambulance Services,PIF,0,,0,1,0
BNC Properties LLC,1118 York,Bensenville,IL,60106,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,553800,276900,9/26/11,2011,,SBA EXPRES,FA$TRK (Small Loan Express),6.99,120,812310,Coin-Operated Laundries and Drycleaners,CANCLD,0,,0,0,0
"Collegiate Marketing, Inc.",2001 KANKAKEE DRIVE,CHAMPAIGN,IL,61821,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,658000,592200,10/25/10,2011,1/1/11,OTH 7A,Guaranty,6.5,60,532310,General Rental Centers,PIF,0,,0,0,15
"Pro Driving Academy, Inc.",1413 Washington Street,Washington,IL,61571,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,47200,23600,9/27/11,2011,10/1/11,SBA EXPRES,FA$TRK (Small Loan Express),5.99,84,611692,Automobile Driving Schools,EXEMPT,0,,0,0,0
"CHEFFS SHOPPE, INC.",124 West Lake Dr,EDWARDSVILLE,IL,62025,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,12500,6250,10/7/10,2011,3/1/11,SBA EXPRES,FA$TRK (Small Loan Express),7.5,24,442299,All Other Home Furnishings Stores,PIF,0,,0,0,0
"CHEFFS SHOPPE, INC.",124 W Lake Dr,EDWARDSVILLE,IL,62025,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,9000,4500,9/29/10,2010,,SBA EXPRES,FA$TRK (Small Loan Express),7.5,24,442299,All Other Home Furnishings Stores,CANCLD,0,,0,0,0
MMFR 1135 Inc. d/b/a Meineke C,875 East Grand Avenue,Lake Villa,IL,60046,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,152900,76450,9/30/11,2011,10/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6.99,84,811111,General Automotive Repair,PIF,0,,0,0,3
Callahan Fire Inc.,491 Chancellor,EDWARDSVILLE,IL,62025,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,125000,62500,9/28/10,2010,11/1/10,SBA EXPRES,FA$TRK (Small Loan Express),5.25,60,339113,Surgical Appliance and Supplies Manufacturing,PIF,0,,0,1,1
Susan K. O'Neal,1515 Harlem Ave,OAK PARK,IL,60302,INDIVIDUAL,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,50000,25000,8/31/10,2010,9/1/10,SBA EXPRES,FA$TRK (Small Loan Express),6.25,33,541110,Offices of Lawyers,CHGOFF,1,5/1/13,31821,0,2
"MORROW SHOE & BOOT, INC.",320 W JEFFERSON AVE,EFFINGHAM,IL,62401,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,145000,123250,7/26/10,2010,8/1/10,RLA,Rural Lender Advantage,6,204,448210,Shoe Stores,PIF,0,,0,0,1
JAD IMPORTS INC,P.O.BOX 13492,SPRINGFIELD,IL,62704,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,933000,839700,5/28/10,2010,1/1/11,OTH 7A,Guaranty,6,180,713990,All Other Amusement and Recreation Industries,EXEMPT,0,,0,0,35
Cummins-Brown Animal Care Cent,4925 MARYVILLE RD,GRANITE CITY,IL,62040,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,125000,62500,5/21/10,2010,6/1/10,SBA EXPRES,FA$TRK (Small Loan Express),6.88,120,541940,Veterinary Services,EXEMPT,0,,0,0,14
SHEAR LEARNING ACADEMY OF COSM,241 N . MAIN ST,DECATUR,IL,62523,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,71000,63900,5/8/10,2010,5/8/10,RLA,Rural Lender Advantage,6,84,611511,Cosmetology and Barber Schools,PIF,0,,0,0,5
Baloo's BBQ,2440 W Main.,Decatur,IL,62522,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,150000,75000,4/27/10,2010,5/1/10,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,722410,Drinking Places (Alcoholic Beverages),PIF,0,,0,1,3
"JAK JAC, INC.",134 EAST MAIN,DECATUR,IL,62521,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,140000,126000,4/23/10,2010,6/1/10,RLA,Rural Lender Advantage,6,120,722110,Full-Service Restaurants,PIF,0,,0,0,34
"CENTRIC SECURITY & AUTOMATION,",219 SECOND AVE. SUITE B,EDWARDSVILLE,IL,62025,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,224500,202050,4/2/10,2010,7/1/10,OTH 7A,Guaranty,6,240,561790,Other Services to Buildings and Dwellings,PIF,0,,0,0,3
"FREY TRANSPORTATION SERVICES,",1185 NEW TRENTON ROAD..,HIGHLAND,IL,62249,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,719700,647730,4/1/10,2010,,OTH 7A,Guaranty,6,240,484110,"General Freight Trucking, Local",CANCLD,0,,0,0,52
PROBST REFRIGERATION & HEATING,410 W. FAYETTE AVENUE,EFFINGHAM,IL,62401,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,350000,315000,3/23/10,2010,4/1/10,RLA,Rural Lender Advantage,5.5,84,811412,Appliance Repair and Maintenance,PIF,0,,0,0,8
Dave Cooper and Associates Ltd,1234 WEST CERRO GORDO STREET,DECATUR,IL,62525,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,1100000,990000,3/16/10,2010,3/16/10,OTH 7A,Guaranty,6,204,812990,All Other Personal Services,EXEMPT,0,,0,0,2
Summit Physical Therapy Servic,919 N. Illinois Route 3,WATERLOO,IL,62298,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,120000,60000,3/11/10,2010,8/1/10,EXPRES EXP,FA$TRK (Small Loan Express),4.75,82,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",PIF,0,,0,1,4
SUMMIT PHYSICAL THERAPY SERVIC,919 N. ILLINOIS ROUTE 3,WATERLOO,IL,62298,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,90500,81450,3/11/10,2010,6/1/10,RLA,Rural Lender Advantage,6.75,84,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",PIF,0,,0,0,2
Elanar Construction Co.,1739 Chestnut Ave,Glenview,IL,60025,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,300000,150000,10/20/11,2012,,SBA EXPRES,FA$TRK (Small Loan Express),4.75,84,238990,All Other Specialty Trade Contractors,CANCLD,0,,0,1,7
"JERRY PRESSLEY RV CENTER, INC",1565 N. 22ND ST.,DECATUR,IL,62526,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,500000,300000,2/24/10,2010,4/1/10,DFP,509 - DEALER FLOOR PLAN,5.5,60,441210,Recreational Vehicle Dealers,PIF,0,,0,1,10
"Action Ozone, Inc.",25 KAREN DR,BOURBONNAIS,IL,60914,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,50000,25000,10/26/11,2012,11/8/11,SBA EXPRES,FA$TRK (Small Loan Express),4.75,84,812990,All Other Personal Services,EXEMPT,0,,0,1,0
"JERRY PRESSLEY RV CENTER, INC",1565 N. 22ND ST.,DECATUR,IL,62526,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,500000,337500,2/20/10,2010,5/1/10,DFP,509 - DEALER FLOOR PLAN,5.5,60,441210,Recreational Vehicle Dealers,PIF,0,,0,1,10
"Yunez & Associates, S.C.",6745 N Clark Street,Chicago,IL,60626,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,85000,42500,10/28/11,2012,11/16/11,SBA EXPRES,FA$TRK (Small Loan Express),4.75,108,621111,Offices of Physicians (except Mental Health Specialists),EXEMPT,0,,0,0,5
"ELK HEATING AND COOLING, INC.",473 NORTH WOOD RIVER AVENUE,WOOD RIVER,IL,62095,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,127500,114750,11/20/09,2010,7/1/10,OTH 7A,Guaranty,7.5,160,238220,"Plumbing, Heating, and Air-Conditioning Contractors",CHGOFF,1,5/23/17,47552,0,12
"ELK HEATING & COOLING, INC.",473 NORTH WOOD RIVER AVENUE,WOOD RIVER,IL,62095,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,147900,133110,11/20/09,2010,7/1/10,OTH 7A,Guaranty,7.75,120,238220,"Plumbing, Heating, and Air-Conditioning Contractors",PIF,0,,0,0,12
Post Concrete Repair & Waterpr,5240 S Archer Ave,Chicago,IL,60632,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,35000,17500,10/31/11,2012,1/1/12,SBA EXPRES,FA$TRK (Small Loan Express),4.75,84,238990,All Other Specialty Trade Contractors,PIF,0,,0,0,0
"ELK HEATING AND COOLING, INC",473 N WOOD RIVER AVE,WOOD RIVER,IL,62095,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,35000,17500,11/19/09,2010,7/1/10,SBA EXPRES,FA$TRK (Small Loan Express),6.75,22,238220,"Plumbing, Heating, and Air-Conditioning Contractors",CHGOFF,1,7/21/17,34265,1,12
ERIC TOON,421 REID AVE,TROY,IL,62294,INDIVIDUAL,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,15000,7500,11/18/09,2010,,SBA EXPRES,FA$TRK (Small Loan Express),8,60,238320,Painting and Wall Covering Contractors,CANCLD,0,,0,1,6
GAME CHAMP INC,622 DOE CREEK TRL,WATERLOO,IL,62298,CORPORATION,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938,10000,5000,10/30/09,2010,,SBA EXPRES,FA$TRK (Small Loan Express),9.75,3,453910,Pet and Pet Supplies Stores,PIF,0,,0,1,5
"The Bistro on Sterling, LLC",1040 Sterling Avenue,FLOSSMOOR,IL,60422,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,120000,102000,5/16/17,2017,6/30/17,PLP,Guaranty,6.5,84,722511,Full-Service Restaurants,EXEMPT,0,,0,0,15
"Wirth Unlimited, Inc.",8836 GOLFVIEW DR,ORLAND PARK,IL,60462,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,50000,25000,5/10/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),7,24,238350,Finish Carpentry Contractors,EXEMPT,0,,0,1,1
"Illinois Designers & Builders,",7614 LINDEN AVE,DARIEN,IL,60561,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,11000,5500,6/23/16,2016,,SBA EXPRES,FA$TRK (Small Loan Express),5.7,36,238290,Other Building Equipment Contractors,CANCLD,0,,0,0,0
"Restoration Plumbing, Inc.",703 Millview Dr,BATAVIA,IL,60510,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,50000,25000,6/6/16,2016,6/6/16,SBA EXPRES,FA$TRK (Small Loan Express),4,24,238220,"Plumbing, Heating, and Air-Conditioning Contractors",EXEMPT,0,,0,1,0
"Bakkers Auto Body, Inc.",16050 Suntone Dr,SOUTH HOLLAND,IL,60473,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,15000,7500,12/17/15,2016,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,48,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",COMMIT,0,,0,1,4
"Illinois Beverage Group, Inc.",13885 Polo Trail Dr,Lake Forest,IL,60045,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,50000,25000,11/17/11,2012,12/1/11,SBA EXPRES,FA$TRK (Small Loan Express),9.65,73,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,CHGOFF,1,12/13/12,49979,1,0
"Bakkers Auto Body, Inc.",16050 Suntone Dr,SOUTH HOLLAND,IL,60473,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,325000,243750,12/17/15,2016,1/1/16,SLA,Lender Advantage Initiative,5.25,120,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",EXEMPT,0,,0,0,4
Lighting Energy Management Com,704 MILLBROOK DR,DOWNERS GROVE,IL,60516,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,50000,25000,2/24/15,2015,3/1/15,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,335121,Residential Electric Lighting Fixture Manufacturing,EXEMPT,0,,0,0,20
"Turnco Products, Inc.",2200 S HALSTED ST,CHICAGO HEIGHTS,IL,60411,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,25000,12500,12/10/14,2015,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,26,332721,Precision Turned Product Manufacturing,COMMIT,0,,0,1,1
"Compliance Partners, LLC dba G",1250 S Grove Ave Ste 200,Barrington,IL,60010,CORPORATION,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,180000,90000,11/22/11,2012,,SBA EXPRES,FA$TRK (Small Loan Express),4.75,84,541690,Other Scientific and Technical Consulting Services,CANCLD,0,,0,1,41
"Turnco Products, Inc.",2200 S HALSTED ST,CHICAGO HEIGHTS,IL,60411,CORPORATION,First Merchants Bank,200 E Jackson St,MUNCIE,IN,47305,92000,46000,12/10/14,2015,12/10/14,SBA EXPRES,FA$TRK (Small Loan Express),5.5,60,332721,Precision Turned Product Manufacturing,EXEMPT,0,,0,0,1
Gold Crown Service Inc,8206 S. Ashland Ave.,CHICAGO,IL,60620,CORPORATION,First IC Bank,5593 Buford Hwy,DORAVILLE,GA,30340,638000,478500,2/17/15,2015,3/1/15,PLP,Guaranty,5,240,812320,Drycleaning and Laundry Services (except Coin-Operated),EXEMPT,0,,0,0,2
"PRIDE NUTRITION, INC.",2031 75TH ST,WOODRIDGE,IL,60517,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,200000,150000,3/29/18,2018,,PLP,Guaranty,7.25,120,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,COMMIT,0,,0,0,7
WILLIS COUNSELING AND CONSULTI,1448 N MILWAUKEE AVE STE 205,CHICAGO,IL,60622,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,250000,187500,3/29/18,2018,,PLP,Guaranty,7.25,120,621399,Offices of All Other Miscellaneous Health Practitioners,COMMIT,0,,0,0,30
INTERNATIONAL CLEANING SERVICE,2415 COMSTOCK CT,NAPERVILLE,IL,60564,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,275000,206250,2/23/18,2018,,PLP,Guaranty,7.25,120,561720,Janitorial Services,COMMIT,0,,0,0,5
"TRAVEL BROKERS, INC",1956 RIDGE RD,HOMEWOOD,IL,60430,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,200000,150000,2/23/18,2018,2/28/18,PLP,Guaranty,7.25,120,561510,Travel Agencies,EXEMPT,0,,0,0,15
"PHONTRONICS, LLC",719 E GOLF RD,SCHAUMBURG,IL,60173,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,125000,106250,1/31/18,2018,2/28/18,PLP,Guaranty,7.25,120,811212,Computer and Office Machine Repair and Maintenance,EXEMPT,0,,0,0,2
"Howard L. Gorman, Jr. dba Lazy",111 Mallard Ln E,East Peoria,IL,61611,INDIVIDUAL,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301,25400,12700,11/29/11,2012,12/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6.99,84,339911,Jewelry (except Costume) Manufacturing,PIF,0,,0,0,0
"Huntley Gymnastics Academy, In",10761 WOLF DR,HUNTLEY,IL,60142,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,395000,296250,12/22/17,2018,2/28/18,PLP,Guaranty,7,120,611620,Sports and Recreation Instruction,EXEMPT,0,,0,0,10
Maxim Innovations LLC,400 N MICHIGAN AVE STE 1680,CHICAGO,IL,60611,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,300000,225000,11/2/17,2018,11/30/17,PLP,Guaranty,7,120,541613,Marketing Consulting Services,EXEMPT,0,,0,0,4
"YOUR STORY COUNSELING, P.C.",4745 MAIN ST STE 207,LISLE,IL,60532,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,50000,42500,10/13/17,2018,10/31/17,PLP,Guaranty,7,120,621399,Offices of All Other Miscellaneous Health Practitioners,EXEMPT,0,,0,0,4
"GHOSTLIGHT ENTERPRISES, INC",432 TREASURE DR,OSWEGO,IL,60543,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,70000,59500,10/2/17,2018,10/31/17,PLP,Guaranty,7,120,532490,Other Commercial and Industrial Machinery and Equipment Rental and Lea,EXEMPT,0,,0,0,4
DIVINE CEMENT INC.,811 PEARSON DR,JOLIET,IL,60435,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,100000,85000,9/26/17,2017,10/31/17,PLP,Guaranty,7,120,238110,Poured Concrete Foundation and Structure Contractors,EXEMPT,0,,0,0,4
E&M PAINTING SERVICES CO.,16106 SPRINGFIELD AVE,MARKHAM,IL,60428,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,150000,127500,9/20/17,2017,9/30/17,PLP,Guaranty,7,120,238320,Painting and Wall Covering Contractors,EXEMPT,0,,0,0,5
SIYA JIYA INC.,501 MILWAUKEE AVE,GLENVIEW,IL,60025,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,200000,150000,9/18/17,2017,9/30/17,PLP,Guaranty,7,120,445310,"Beer, Wine, and Liquor Stores",EXEMPT,0,,0,0,1
Little Einsteins Daycare Inc.,3640 W WRIGHTWOOD AVE,CHICAGO,IL,60647,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,350000,262500,9/18/17,2017,10/31/17,PLP,Guaranty,7,120,624410,Child Day Care Services,EXEMPT,0,,0,0,12
"SHERMAN CHIROPRACTIC, LLC",420 CROSSING DR STE 3,SHERMAN,IL,62684,CORPORATION,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772,300000,225000,9/14/17,2017,9/30/17,PLP,Guaranty,7,120,621310,Offices of Chiropractors,EXEMPT,0,,0,0,5
